*** 令和８年度 設問別得点率及び正答率 ***,,,,,
問題区分＝本試験,人数＝438156,平均正答率＝0.6019,,,
科目＝国語,総平均点＝116.37,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,28.738,45,0.6386,0.7128
1,1,1.343,2,0.6717,0.6717
1,2,1.871,2,0.9354,0.9354
1,3,1.933,2,0.9666,0.9666
1,4,1.51,2,0.755,0.755
1,5,1.805,2,0.9023,0.9023
1,6,4.809,7,0.687,0.687
1,7,4.037,7,0.5767,0.5767
1,8,2.968,7,0.424,0.424
1,9,4.536,7,0.648,0.648
1,10,3.927,7,0.561,0.561
2,合計,31.437,45,0.6986,0.707
2,11,5.375,6,0.8959,0.8959
2,12,5.038,6,0.8396,0.8396
2,13,4.009,6,0.6682,0.6682
2,14,4.825,6,0.8041,0.8041
2,15,4.019,7,0.5741,0.5741
2,16,4.478,7,0.6397,0.6397
2,17,3.694,7,0.5277,0.5277
3,合計,12.209,20,0.6104,0.5505
3,18,3.975,5,0.795,0.795
3,19,2.321,4,0.5803,0.5803
3,20-21,3.277,6,0.5461,0.2996
3,22,2.636,5,0.5271,0.5271
4,合計,20.555,45,0.4568,0.4731
4,23,3.414,5,0.6829,0.6829
4,24,2.555,5,0.5111,0.5111
4,25,2.408,5,0.4817,0.4817
4,26,3.128,7,0.4468,0.4468
4,27,3.274,7,0.4677,0.4677
4,28,2.968,8,0.371,0.371
4,29,2.807,8,0.3509,0.3509
5,合計,23.434,45,0.5208,0.5095
5,30,2.203,4,0.5507,0.5507
5,31,2.005,4,0.5013,0.5013
5,32,3.677,6,0.6128,0.6128
5,33,0.874,5,0.1748,0.1748
5,34,2.877,5,0.5753,0.5753
5,35,2.645,6,0.4409,0.4409
5,36,4.256,7,0.608,0.608
5,37,4.898,8,0.6123,0.6123
問題区分＝本試験,人数＝143237,平均正答率＝0.6202,,,
科目＝地理総合，地理探究,総平均点＝61.87,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,8.907,13,0.6851,0.6723
1,1,1.954,3,0.6513,0.6513
1,2,3.358,4,0.8394,0.8394
1,3,1.935,3,0.6449,0.6449
1,4,1.66,3,0.5533,0.5533
2,合計,9.079,12,0.7566,0.7566
2,5,1.976,3,0.6587,0.6587
2,6,2.351,3,0.7835,0.7835
2,7,2.684,3,0.8947,0.8947
2,8,2.068,3,0.6895,0.6895
3,合計,11.906,21,0.5669,0.569
3,9,1.971,3,0.657,0.657
3,10,0.998,3,0.3327,0.3327
3,11,2.831,4,0.7078,0.7078
3,12,2.281,3,0.7604,0.7604
3,13,1.789,4,0.4473,0.4473
3,14,2.035,4,0.5087,0.5087
4,合計,9.441,17,0.5554,0.5555
4,15,1.928,3,0.6428,0.6428
4,16,1.621,4,0.4053,0.4053
4,17,1.674,3,0.5582,0.5582
4,18,1.406,3,0.4685,0.4685
4,19,2.811,4,0.7029,0.7029
5,合計,11.69,20,0.5845,0.5886
5,20,1.835,3,0.6118,0.6118
5,21,1.732,3,0.5773,0.5773
5,22,2.29,3,0.7634,0.7634
5,23,1.049,4,0.2622,0.2622
5,24,1.448,3,0.4828,0.4828
5,25,3.336,4,0.834,0.834
6,合計,10.851,17,0.6383,0.6332
6,26,2.457,4,0.6143,0.6143
6,27,1.921,3,0.6403,0.6403
6,28,1.173,3,0.3911,0.3911
6,29,2.348,3,0.7827,0.7827
6,30,2.951,4,0.7377,0.7377
問題区分＝本試験,人数＝124431,平均正答率＝0.6215,,,
科目＝歴史総合，日本史探究,総平均点＝62.29,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,16.815,25,0.6726,0.6688
1,1,2.09,3,0.6967,0.6967
1,2,2.177,3,0.7258,0.7258
1,3,0.855,3,0.2848,0.2848
1,4,2.479,3,0.8265,0.8265
1,5,2.061,3,0.6869,0.6869
1,6,3.054,4,0.7635,0.7635
1,7,1.546,3,0.5152,0.5152
1,8,2.553,3,0.851,0.851
2,合計,10.506,15,0.7004,0.7004
2,9,2.045,3,0.6817,0.6817
2,10,2.618,3,0.8727,0.8727
2,11,2.294,3,0.7645,0.7645
2,12,1.537,3,0.5122,0.5122
2,13,2.013,3,0.671,0.671
3,合計,8.114,15,0.5409,0.5409
3,14,1.57,3,0.5235,0.5235
3,15,1.703,3,0.5678,0.5678
3,16-17,1.303,3,0.4344,0.4344
3,18,1.474,3,0.4914,0.4914
